Subjects,alpha_rw,beta_rw,alpha_rwck_rw,beta_rwck_rw,alpha_rwck_ck,beta_rwck_ck,alpha_ck,beta_ck,epsilon,b
11,0.144322964551106,9.17633019274177,0.144323828503181,9.17629650683946,0.05,0,0.05,5.41717718634065,0.369565535917279,0.5
12,0.0849672088993151,5.63400486539585,0.0887733237030185,3.62922106897354,0.106812137818517,4.64796382006765,0.0653351149604142,5.80205966260817,0.904762783723988,0.5
13,0.62639866681222,3.6389878949403,0.663189895041299,3.42752233097058,0.835450849379075,1.52427267982098,0.05,4.85095526460643,0.409637961027508,0.5
14,0.220814512191538,11.9275402763556,0.240473184189469,10.821099704252,0.468986129034075,1.26385401385312,0.0513210559028004,4.25167680055054,0.391304677546897,0.5
15,0.0926258549751393,25,0.0898125015214101,25,0.05,5.88845517488955,0.0566782216849592,25,0.434778738335391,0.5
16,0.121012286070514,11.4514321052375,0.152856090960459,11.4999116200862,1,2.19379723178293,0.05,7.51090297833526,0.391303029941722,0.5
17,0.0950509445546349,23.6175660141659,0.129570372266086,16.5445750417827,0.05,1.88442578944491,0.110507114289441,6.88346766743023,0.500000889896577,0.5
18,0.814895291043203,11.5599588954454,0.931834463133047,25,0.279986728529687,1.92177103679714,0.12375929041451,3.84841117664631,0.36956581517398,0.5
19,0.297141704012447,4.47268368567011,0.617763576993193,2.58365436808373,0.259105613005773,1.51155185399613,0.0662017839842519,2.67315754536442,0.478262167101373,0.5
20,0.05,4.11475442954333,0.05,3.4625526227394,0.05,5.82194175761696,0.05,6.5105618663352,1,0.5
21,0.172872950467512,12.418346739912,0.172871895647503,12.4183407245424,0.0578729386973886,0,0.05,4.54000351770283,0.466666004517282,0.5
22,0.073586116778068,25,0.134256299083488,25,0.05,9.896033370157,0.05,15.6202323048418,0.456522504640663,0.5
23,0.202749230188038,6.63552744070724,0.202746665704016,6.63555144353324,0.0500315692331824,0,0.05,5.05601294933917,0.565217011208539,0.5
24,0.065402814390456,25,0.104384493784048,25,0.057812368583479,25,0.05,11.7789993128121,0.608695944716679,0.5
25,0.0713272778466992,25,1,3.07592598165535,0.05,9.94505609354247,0.05,19.0611923389488,0.505495013150494,0.5
26,0.0601406852169039,22.1234723940426,1,1.22707604899649,0.589991083244934,7.62729906523533,0.484400892983115,7.66445834983829,0.461537117591078,0.5
27,0.127459773929497,17.4268823608161,0.108070262448392,17.7441038228997,0.20789939874117,2.82597757527664,0.0591048355862283,6.00067014501915,0.586955892485098,0.5
28,0.0886182979462402,25,0.1748887209923,6.11513541212154,0.571893607790837,25,1,25,0.444444806931343,0.5
29,0.264990469340867,4.34708072107717,0.267676012657522,4.18560158225169,1,0.967250062499101,0.0661792077498032,4.51544599965156,0.533333736542487,0.5
30,0.129235837284561,25,0.0714729720870304,4.86716908379842,1,17.6311520211078,1,25,0.369565849128543,0.5
31,0.164304615326841,25,0.201431739921922,25,0.118236428613518,2.12058936320289,0.0642662443203472,6.49456046729952,0.382020508538203,0.5
32,0.103881835034019,25,0.382436581509845,8.06289692413225,0.053459468985112,11.3970482702483,0.05,15.16888661704,0.35164873662791,0.5
33,0.105530447067744,25,0.05,6.87178516428707,1,25,1,25,0.444444750372433,0.5
34,0.05,10.1983955145818,0.323233967815408,6.16081149805017,0.350696769176739,4.40256786892941,0.05,4.13882756504854,0.466666765830723,0.5
35,0.196171235243624,4.71836126268014,0.196178384279279,4.71828764150311,0.676930534115969,0,0.0851273420886682,3.67315577781356,0.516854315448825,0.5
36,0.05,25,0.140063091265188,5.98283508537803,0.05,5.03418906198864,0.0948288983941295,6.11495864004445,0.608696683800862,0.5
37,0.05,3.90563917422722,0.05,11.4936000856272,0.0873590506358842,6.91584801143106,0.05,9.58415999262013,0.847826561168897,0.5
38,0.187275209880508,13.3837486282431,0.187275050669517,13.3837918392599,0.158769775737704,0,0.151026488493574,3.39848864844674,0.42222392260806,0.5
39,0.05,22.0968746413627,0.0525875340899071,15.1716178364508,0.05,2.89660876259656,0.0658461567386214,8.18743154777985,0.558139878906232,0.5
40,0.05,6.61034758541595,0.05,20.6632215530599,0.207948452806475,7.62111061448595,0.32520316385076,3.99118739919809,0.666667378765242,0.5
41,0.199962060878054,7.73552178460013,0.37552928186245,4.2000863000887,0.0561348751002987,2.04853380136664,0.0961324111950655,3.47949889271456,0.483518140858954,0.5
42,0.329144054320541,3.35751912656673,0.427616824752794,3.24081258525886,0.599341558849207,2.61214874313294,0.808047350592337,2.34020801945847,0.434786945206653,0.5
43,0.232884489415868,12.7286458626623,0.40669641096539,6.77138620683106,0.05,3.18370576440525,0.105779704164611,4.27671747383934,0.456522762248728,0.5
44,0.0925460934867043,25,0.98257932491778,4.4380590654416,0.999964920728829,19.3832084534238,1,25,0.466666927291855,0.5
45,0.0954599169149984,25,0.135563310941867,25,0.567098803338025,3.22793314160002,0.234535633035474,5.96152421778406,0.4565189118831,0.5
46,0.462746788562321,1.61508691803435,0.481232141097982,1.58952701341314,0.440590088264399,1.11935967422078,0.05,2.96725858269691,0.786520064142297,0.5
47,0.176125947726846,10.9117694362867,0.27092958187688,4.50785092806903,0.05,2.88353272763822,0.103751697297374,4.49501692780223,0.733333720885365,0.5
48,0.104778154523389,25,0.849350124169972,6.20426313900397,1,23.7259030798528,1,23.156776910595,0.4347829878857,0.5
49,0.07227471560279,25,0.0637544655997229,25,0.05,3.16915104776695,0.05,18.8945353807883,0.413043840124152,0.5
50,0.127434359776868,18.8396278604262,0.13623526485658,15.8486466244492,0.265700787066134,0.638676173418302,0.294635351193234,4.1677919983882,0.493149558746296,0.5
51,0.283070391707326,5.62059884845006,0.283066561905034,5.62060425979955,1,0,0.05,3.61126323981859,0.50549464480793,0.5
52,0.315142551572925,5.9609042217636,0.315143588323603,5.96093198142002,0.0801370338339935,0,0.05,3.18867608227935,0.51111038676997,0.5
53,0.05,4.00995151256199,0.05,3.31949389984057,0.05,1.16012966603648,0.05,5.01539547353259,0.804347665922362,0.5
54,0.0768358676842199,14.5840607940656,0.290143293973313,3.06132115363434,0.0863746843489395,4.94286020857716,0.0816915232574981,6.46946675641118,0.505495048204332,0.5
55,0.05,17.9551697375073,0.05,14.6205805544687,0.05,6.68526524436169,0.05,9.72168145558748,0.644443763536132,0.5
57,0.995559210619118,2.86043932982582,1,2.64674834080575,0.05,1.52842838301075,0.05,5.29475140938497,0.57777812211942,0.5
58,1,1.73190645217082,1,2.16661624944778,0.278799401770934,3.15762596246735,0.522501381490001,1.56185577409816,0.586956555517885,0.5
59,0.639238239216145,3.74137306441922,0.670749118410443,4.20527632616994,0.760354324799212,2.4453208233341,0.05,2.33708828097727,0.560975069627033,0.5
60,0.114686690779925,25,0.05,4.67911278240368,1,21.6551006790013,1,25,0.37362184128721,0.5
